line,location,language,value,category,keywords,description
This file does only contain a selection of the most common options. For a full list see the documentation: http://www.sphinx-doc.org/en/master/config ,/Users/rubber/brave-browser/docs/source/conf.py: 7,python,['obeys choosing own goals'],['self-direction'],['see'],conforms with value
The language for content autogenerated by Sphinx. Refer to documentation for a list of supported languages. ,/Users/rubber/brave-browser/docs/source/conf.py: 57,python,"['obeys pleasure', 'obeys healthy', 'obeys equality']","['Hedonism', 'Security', 'Universalism']","['content', 'supported', 'language', 'languages', 'supported']",conforms with value
This is also used if you do content translation via gettext catalogs. Usually you set language from the command line for these cases. ,/Users/rubber/brave-browser/docs/source/conf.py: 60,python,"['obeys pleasure', 'obeys equality']","['Hedonism', 'Universalism']","['content', 'language']",conforms with value
The theme to use for HTML and HTML Help pages.  See the documentation for a list of builtin themes. ,/Users/rubber/brave-browser/docs/source/conf.py: 75,python,"['obeys choosing own goals', 'obeys helpful']","['self-direction', 'Benevolence']","['See', 'Help']",conforms with value
"Theme options are theme-specific and customize the look and feel of a theme further.  For a list of options available for each theme, see the documentation. ",/Users/rubber/brave-browser/docs/source/conf.py: 81,python,['obeys choosing own goals'],['self-direction'],['see'],conforms with value
"Custom sidebar templates, must be a dictionary that maps document names to template names. ",/Users/rubber/brave-browser/docs/source/conf.py: 101,python,['violates choosing own goals'],['self-direction'],['must'],value violation
"The default sidebars (for documents that don't match any pattern) are defined by theme itself.  Builtin themes are using these templates by default: ``['localtoc.html', 'relations.html', 'sourcelink.html', 'searchbox.html']``. ",/Users/rubber/brave-browser/docs/source/conf.py: 106,python,['violates choosing own goals'],['self-direction'],"[""don't""]",value violation
Output file base name for HTML help builder. ,/Users/rubber/brave-browser/docs/source/conf.py: 115,python,['obeys helpful'],['Benevolence'],['help'],conforms with value
"Grouping the document tree into LaTeX files. List of tuples (source start file, target name, title, author, documentclass [howto, manual, or own class]). ",/Users/rubber/brave-browser/docs/source/conf.py: 143,python,['obeys helpful'],['Benevolence'],['manual'],conforms with value
-- Options for manual page output ------------------------------------------ ,/Users/rubber/brave-browser/docs/source/conf.py: 150,python,['obeys helpful'],['Benevolence'],['manual'],conforms with value
"One entry per manual page. List of tuples (source start file, name, description, authors, manual section). ",/Users/rubber/brave-browser/docs/source/conf.py: 153,python,['obeys helpful'],['Benevolence'],"['manual', 'manual']",conforms with value
